أَنَا لَا أَفْهَمُ,אני לא מבין
هٰذَا لَا يَعْمَلُ,זה לא עובד
لَيْسَ عِنْدِي وَقْت,אין לי זמן
أَحْتَاجُ إِلَى مُسَاعَدَة,אני צריך עזרה
أَيْنَ هُوَ,איפה זה נמצא
كَمْ سِعْرُهُ,כמה זה עולה
أَنَا أُوَافِقُ,אני מסכים
أَنَا لَا أُوَافِقُ,אני לא מסכים
هٰذَا مُهِمّ لِي,זה חשוב לי
لَا مُشْكِلَة,אין בעיה
أَنَا مُتْعَب,אני עייף
أَنَا جَائِع,אני רעב
أَنَا عَطْشَان,אני צמא
أَنَا مُسْتَعْجِل,אני ממהר
أَنَا مُتَأَخِّر,אני מאחר
أَنَا مُبَكِّر,אני מוקדם
هٰذَا وَاضِح لِي,זה ברור לי
هٰذَا غَيْرُ وَاضِح لِي,זה לא ברור לי
أَنَا أَتَذَكَّرُ,אני זוכר
أَنَا لَا أَتَذَكَّرُ,אני לא זוכר
أَنَا أَنْتَظِرُكَ,אני מחכה לך
سَأَعُودُ غَدًا,אני חוזר מחר
أَحْتَاجُ أَنْ أُفَكِّرَ,אני צריך לחשוב
أَعْطِنِي لَحْظَة,תן לי רגע
هَلْ أَسْتَطِيعُ مُسَاعَدَتَكَ,אפשר לעזור לך
اِشْرَحْ مَرَّةً أُخْرَى,תסביר שוב
لَا بَأْسَ,זה בסדר
هٰذَا غَيْرُ مَقْبُول,זה לא בסדר
أَنَا أَفْهَمُ الْآنَ,אני מבין עכשיו
لَا فِكْرَةَ لَدَيَّ,אין לי מושג
أَنَا مُتَأَكِّد,אני בטוח
أَنَا غَيْرُ مُتَأَكِّد,אני לא בטוח
هٰذَا يَعْتَمِدُ,זה תלוי
دَعْنَا نَبْدَأْ,בוא נתחיל
سَنُنْهِي لَاحِقًا,נסיים אחר כך
