no entiendo,אני לא מבין
no funciona,זה לא עובד
no tengo tiempo,אין לי זמן
necesito ayuda,אני צריך עזרה
dónde está,איפה זה נמצא
cuánto cuesta,כמה זה עולה
estoy de acuerdo,אני מסכים
no estoy de acuerdo,אני לא מסכים
es importante para mí,זה חשוב לי
no hay problema,אין בעיה
estoy cansado,אני עייף
tengo hambre,אני רעב
tengo sed,אני צמא
tengo prisa,אני ממהר
llego tarde,אני מאחר
llego temprano,אני מוקדם
me queda claro,זה ברור לי
no me queda claro,זה לא ברור לי
recuerdo,אני זוכר
no recuerdo,אני לא זוכר
te espero,אני מחכה לך
volveré mañana,אני חוזר מחר
necesito pensar,אני צריך לחשוב
dame un momento,תן לי רגע
puedo ayudarte,אפשר לעזור לך
explica otra vez,תסביר שוב
está bien,זה בסדר
no está bien,זה לא בסדר
ahora entiendo,אני מבין עכשיו
no tengo idea,אין לי מושג
estoy seguro,אני בטוח
no estoy seguro,אני לא בטוח
depende,זה תלוי
empecemos,בוא נתחיל
terminamos después,נסיים אחר כך
