אָנִי אֶלֶך,I will go
אָנִי אָבוא,I will come
אָנִי אֶעֶבוד,I will work
אָנִי אֶלמָד,I will study
אָנִי אֶראֶה,I will see
אָנִי אֶשמָע,I will hear
אָנִי אָדָבֶּר,I will speak
אָנִי אוכָל,I will eat
אָנִי אֶשתֶה,I will drink
אָנִי אֶכתוב,I will write
אָנִי אֶקרָא,I will read
אָנִי אָחשוב,I will think
אָנִי אֶדָע,I will know
אָנִי אָבִין,I will understand
אָנִי אֶזכּור,I will remember
אָנִי אֶשכָּח,I will forget
אָנִי אוהָב,I will love
אָנִי אֶשׂנָא,I will hate
אָנִי אֶקנֶה,I will buy
אָנִי אֶמכּור,I will sell
אָנִי אֶפתָח,I will open
אָנִי אֶסגור,I will close
אָנִי אָתחִיל,I will start
אָנִי אָסָיֶם,I will finish
אָנִי אֶסָע,I will travel
אָנִי אֶחזור,I will come back
אָנִי אֶשָאֶר,I will stay
אָנִי אֶעזור,I will help
אָנִי אָבָקֶש,I will ask
אָנִי אָקָבֶּל,I will receive
אָנִי אֶתֶן,I will give
אָנִי אָנָסֶה,I will try
אָנִי אֶחָכֶּה,I will wait
אָנִי אֶבחָר,I will choose
אָנִי אָחָפֶּשׂ,I will search
